============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Nov 16 2021  09:03:24 am
  Module:                 axis_accelerator_asic
  Operating conditions:   tt_1p0v_25c 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage      Dynamic        Total     
             Instance               Cells  Power(nW)    Power(nW)     Power(nW)   
        MUL                           138    2147.963    109119.640    111267.603 
        ACC                            74    1316.044     82618.202     83934.245 
          REG                          25     364.601     43794.460     44159.061 
            RC_CG_HIER_INST53           1      11.593      3126.540      3138.134 
      Ca[0].Ga[0..SSING_ELEMENT       237    3800.185    204760.300    208560.484 
        MUL                           138    2147.963    109388.801    111536.763 
        ACC                            74    1316.044     82618.202     83934.245 
          REG                          25     364.601     43794.460     44159.061 
            RC_CG_HIER_INST22           1      11.593      3126.540      3138.134 
      Ca[0].Ga[0..SSING_ELEMENT       238    3799.811    184653.511    188453.322 
        MUL                           139    2152.423    110222.563    112374.985 
        ACC                            74    1311.270     63135.622     64446.892 
          REG                          25     362.807     34193.200     34556.007 
            RC_CG_HIER_INST46           1      11.593      3135.691      3147.284 
      Ca[0].Ga[0..SSING_ELEMENT       238    3799.811    184651.747    188451.558 
        MUL                           139    2152.423    110220.839    112373.262 
        ACC                            74    1311.270     63135.622     64446.892 
          REG                          25     362.807     34193.200     34556.007 
            RC_CG_HIER_INST89           1      11.593      3135.691      3147.284 
      Ca[0].Ga[0..SSING_ELEMENT       238    3799.811    184375.091    188174.902 
        MUL                           139    2152.423    109944.607    112097.030 
        ACC                            74    1311.270     63135.622     64446.892 
          REG                          25     362.807     34193.200     34556.007 
